Affiliation,PIs,Cancer type 
"STUDY_CHAIR, Anil Wali, PhD, Barbara Ann Karmanos Cancer Institute","Anil Wali, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Rachel J Bishop, M.D., National Eye Institute (NEI)","Rachel J Bishop, M.D.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Nithya Ramnath, MD, Roswell Park Cancer Institute","Nithya Ramnath, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Marco Anile, MD, La Sapienza Università di Roma","Marco Anile, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Hossein Borghaei, DO, Fox Chase Cancer Center","Hossein Borghaei, DO",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Taofeek Owonikoko, MD, PhD, Emory University","Taofeek Owonikoko, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Joseph O'Connor, MD, University of Wisconsin, Madison","Joseph O'Connor, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Natasha Leighl, Princess Margaret Hospital Phase 2 Consortium",Natasha Leighl,Lung cancer (Completed)
"STUDY_DIRECTOR, Mary Horowitz, MD, MS, Center for International Blood and Marrow Transplant Research (CIBMTR), Medical College of Wisconsin","Mary Horowitz, MD, MS",Lung cancer (Completed)
"STUDY_DIRECTOR, Pascal AMEDRO, MD, PhD, University Hospital, Montpellier|   PRINCIPAL_INVESTIGATOR, Arthur GAVOTTO, University Hospital, Montpellier","Pascal AMEDRO, MD, PhD| Arthur GAVOTTO",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Welma Stonehouse, PhD, Commonwealth Scientific and Industrial Research Organisation, Australia","Welma Stonehouse, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Peter Vedsted, Professor, The Research Unit for Generel Practice","Peter Vedsted, Professor",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Dana A. Hill, MD, Children's National Research Institute","Dana A. Hill, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Ritsuko U. Komaki, MD, FACR, M.D. Anderson Cancer Center","Ritsuko U. Komaki, MD, FACR",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jing Huang, PhD, Peking University|   PRINCIPAL_INVESTIGATOR, Shaowei Wu, PhD, Peking University","Jing Huang, PhD| Shaowei Wu, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Marcus Jonsson, PhD Student, Region Örebro Län","Marcus Jonsson, PhD Student",Lung cancer (Completed)
"STUDY_DIRECTOR, Chrystal Louis, MD, Celgene","Chrystal Louis, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Carlos J Chaccour, MD PhD, Clinica Universidad de Navarra and Barcelona Institute of Global Health","Carlos J Chaccour, MD PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Wenhua chen, M.D., Fujian Medical University Union Hospital","Wenhua chen, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Arkadiusz Dudek, MD, Masonic Cancer Center, University of Minnesota","Arkadiusz Dudek, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Christopher S Hourigan, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Christopher S Hourigan, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lampros Vamvakas, MD, University Hospital of Crete|   PRINCIPAL_INVESTIGATOR, Athanasios Karampeazis, MD, University Hospital of Crete","Lampros Vamvakas, MD| Athanasios Karampeazis, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lisa A. Carey, MD, UNC Lineberger Comprehensive Cancer Center|   PRINCIPAL_INVESTIGATOR, William J. Irvin, MD, Bon Secours Virginia Health System / Bon Secours Cancer Institute","Lisa A. Carey, MD| William J. Irvin, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Charles Kunos, NRG Oncology",Charles Kunos,Lung cancer (Completed)
NA,Jeffrey Silber,Lung cancer (Completed)
"STUDY_DIRECTOR, Serban Ghiorghiu, MSD, AstraZeneca","Serban Ghiorghiu, MSD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ali Baghian, MD, Tulane University Medical Center|   PRINCIPAL_INVESTIGATOR, Tallat Mahmmod, MD, Detroit Clinical Research Center|   PRINCIPAL_INVESTIGATOR, Marcus L Ware, MD, Ochsner Health System","Ali Baghian, MD| Tallat Mahmmod, MD| Marcus L Ware, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Salim Si-Mohamed, MD, Hospices Civils de Lyon (Hôpital cardiologique Louis Pradel)","Salim Si-Mohamed, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Mark A Socinski, MD, University of North Carolina, Chapel Hill","Mark A Socinski, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Lizhi Niu, PhD, Fuda Cancer Hospital","Lizhi Niu, PhD",Lung cancer (Completed)
"STUDY_CHAIR, Boehringer Ingelheim, Boehringer Ingelheim",Boehringer Ingelheim,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Bethany Hannafon, PhD, The University of Oklahoma Health Sciences Center|   PRINCIPAL_INVESTIGATOR, Michael Businelle, PhD, The University of Oklahoma Health Sciences Center","Bethany Hannafon, PhD| Michael Businelle, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Nima Kokabi, MD, Emory University","Nima Kokabi, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Acerta Clinical Trials, 1-888-292-9613",Acerta Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jonathan Strosberg, M.D., H. Lee Moffitt Cancer Center and Research Institute","Jonathan Strosberg, M.D.",Lung cancer (Completed)
"STUDY_DIRECTOR, GSK Clinical Trials, GlaxoSmithKline",GSK Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Edward L Snyder, MD, Yale New Haven Hospital","Edward L Snyder, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Michael Guarino, MD, Christiana Care Health Services","Michael Guarino, MD",Lung cancer (Completed)
"STUDY_CHAIR, Kim Kramer, MD, Memorial Sloan Kettering Cancer Center","Kim Kramer, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ayman E Nakeeb, MD, Mansoura University, Gastrointestinal Surgery Center","Ayman E Nakeeb, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Marcello RIGGI, Clinical Development Director, Institut de Recherche Pierre Fabre","Marcello RIGGI, Clinical Development Director",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Kim Wildgaard, MD, Section for Surgical Pathophysiology|   STUDY_DIRECTOR, Henrik Kehlet, MD, Section for Surgical Pathophysiology","Kim Wildgaard, MD| Henrik Kehlet, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, David Grosshans, MD, M.D. Anderson Cancer Center","David Grosshans, MD",Lung cancer (Completed)
"STUDY_CHAIR, Carol A. Sherman, MD, Medical University of South Carolina","Carol A. Sherman, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Misha DP Luyer, MD, PhD, Catharina Ziekenhuis Eindhoven","Misha DP Luyer, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Serge Molliex, PhD, CHU de Saint-Etienne","Serge Molliex, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Claudia Bausewein, Prof.Dr.med., Munich University Hospital","Claudia Bausewein, Prof.Dr.med.",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Study Leader, Daiichi Sankyo, Inc.",Clinical Study Leader,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Tanner Caverly, MD MPH, VA Ann Arbor Healthcare System, Ann Arbor, MI","Tanner Caverly, MD MPH",Lung cancer (Completed)
"STUDY_DIRECTOR, Peter B. Langmuir, MD, Incyte Corporation","Peter B. Langmuir, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Philip Komarnitsky, MD, AVEO Pharmaceuticals, Inc.","Philip Komarnitsky, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Alyson Moadel, Albert Einstein College of Medicine",Alyson Moadel,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Hjalmar Flygt, CTC Clinical Trial Consultants AB",Hjalmar Flygt,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Fu-Tsai Chung, M.D., Chang Gung Memorial Hospital","Fu-Tsai Chung, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Roy Decker, M.D., Ph.D., Yale University","Roy Decker, M.D., Ph.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jhanelle Gray, M.D., H. Lee Moffitt Cancer Center and Research Institute","Jhanelle Gray, M.D.",Lung cancer (Completed)
"STUDY_DIRECTOR, Mary Horowitz, MD, Center for International Blood and Marrow Transplant Research","Mary Horowitz, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Harish Dave, PharmaBio Development Inc.",Harish Dave,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Vladimir V Komok, Ph.D, First Pavlov State Medical University of St. Petersburg.","Vladimir V Komok, Ph.D",Lung cancer (Completed)
"STUDY_CHAIR, Nong Yang, MD, Hunan Province Tumor Hospital","Nong Yang, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Marc Carrier, MD MSc, Ottawa Hospital Research Institute|   PRINCIPAL_INVESTIGATOR, Rebecca Auer, MD MSc, Ottawa Hospital Research Institute|   STUDY_CHAIR, Tim Asmis, MD, Ottawa Hospital","Marc Carrier, MD MSc| Rebecca Auer, MD MSc| Tim Asmis, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, James Dobbins, MD, Duke University","James Dobbins, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Peter Meldgaard, MD, PhD, Aarhus University Hospital","Peter Meldgaard, MD, PhD",Lung cancer (Completed)
"STUDY_DIRECTOR, Sonia Quaratino, MD, PhD, Merck KGaA, Darmstadt, Germany","Sonia Quaratino, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Steven Z Pavletic, M.D., National Cancer Institute (NCI)","Steven Z Pavletic, M.D.",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Thomas A Waldmann, M.D., NCI, NIH","Thomas A Waldmann, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Susan Eggly, PhD, Wayne State University","Susan Eggly, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Sun Jiayuan, MD, Shanghai Chest Hospital","Sun Jiayuan, MD",Lung cancer (Completed)
"STUDY_CHAIR, Gregory M. Loewen, DO, FCCP, Roswell Park Cancer Institute","Gregory M. Loewen, DO, FCCP",Lung cancer (Completed)
"STUDY_CHAIR, Howard L. West, MD, Swedish Cancer Institute at Swedish Medical Center - First Hill Campus","Howard L. West, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, James D Neaton, PhD, University of Minnesota|   STUDY_CHAIR, Abdel Babiker, PhD, Medical Research Council Clinical Trials Unit, London|   STUDY_CHAIR, Jens Lundgren, MD, DMSc, Copenhagen HIV Programme","James D Neaton, PhD| Abdel Babiker, PhD| Jens Lundgren, MD, DMSc",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Demetrios Kutsogiannis, MD, Royal Alexandra Hospital","Demetrios Kutsogiannis, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Andrei Iagaru, MD, Stanford University","Andrei Iagaru, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Toyoaki Hida, MD, PhD, West Japan Thoracic Onoclogy Group","Toyoaki Hida, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Clément Delmas, CHU Toulouse, Hôpital Rangueil",Clément Delmas,Lung cancer (Completed)
"STUDY_CHAIR, Nathan Pennell, MD, Cleveland Clinic Taussig Cancer Institute, Case Comprehensive Cancer Center","Nathan Pennell, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Richard Crowell, MD, University of New Mexico","Richard Crowell, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Edwin Posadas, MD FACP, Cedars-Sinai Medical Center Samuel Oschin Comprehensive Cancer Institute","Edwin Posadas, MD FACP",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Dennie Jones, MD, University of New Mexico","Dennie Jones, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Sciences & Operations, Sanofi",Clinical Sciences & Operations,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Namrata Vijayvergia, MD, Fox Chase Cancer Center","Namrata Vijayvergia, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Kristina Tiedje, Ph.D., Mayo Clinic|   PRINCIPAL_INVESTIGATOR, Clayton T. Cowl, M.D., Mayo Clinic|   PRINCIPAL_INVESTIGATOR, Barbara A. Koenig, Ph.D., Mayo Clinic","Kristina Tiedje, Ph.D.| Clayton T. Cowl, M.D.| Barbara A. Koenig, Ph.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Betty Ferrell, City of Hope Medical Center|   PRINCIPAL_INVESTIGATOR, Huong Nguyen, MD, Kaiser Permanente Department of Research and Evaluation","Betty Ferrell| Huong Nguyen, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Matthias Berse, Dr. med., CRS Clinical Research Services Berlin GmbH","Matthias Berse, Dr. med.",Lung cancer (Completed)
"STUDY_DIRECTOR, Yuxi Zhang, master, The First Affiliated Hospital with Nanjing Medical University","Yuxi Zhang, master",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ruth Pettengell, MBChB PhD, St George's, University of London|   STUDY_DIRECTOR, Ahmed Younis, PhD, St George's, University of London","Ruth Pettengell, MBChB PhD| Ahmed Younis, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Charles Rudin, University of Chicago Comprehensive Cancer Center",Charles Rudin,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Angela Davies, SWOG Cancer Research Network",Angela Davies,Lung cancer (Completed)
"STUDY_DIRECTOR, GSK Clinical Trials, GlaxoSmithKline",GSK Clinical Trials,Lung cancer (Completed)
"STUDY_CHAIR, Boehringer Ingelheim, Boehringer Ingelheim",Boehringer Ingelheim,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Nico Van Zandwijk, MD, PhD, The Netherlands Cancer Institute","Nico Van Zandwijk, MD, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Xiaoshen Wang, MD,Ph.D, Fudan University","Xiaoshen Wang, MD,Ph.D",Lung cancer (Completed)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Completed)
"STUDY_DIRECTOR, Lance Leopold, MD, Incyte Corporation","Lance Leopold, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Monitor, MD, Wyeth is now a wholly owned subsidiary of Pfizer","Medical Monitor, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Lucas Sideris, MD, Maisonneuve-Rosemont Hospital","Lucas Sideris, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Anhui Shi, MD., Peking University Cancer Hospital & Institute","Anhui Shi, MD.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Justin Sandall, D.O., Vanderbilt University|   STUDY_DIRECTOR, Mias Pretorius, M.D., Vanderbilt University","Justin Sandall, D.O.| Mias Pretorius, M.D.",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Nicole J Gormley, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Nicole J Gormley, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Kumar n Pradhash, MD, TATA MEMORIAL HOSPITAL , MUMBAI","Kumar n Pradhash, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Gerald Clamon, Cancer and Leukemia Group B",Gerald Clamon,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ehsan Samei, PhD, Duke University","Ehsan Samei, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_CHAIR, Timothy L. Winton, MD, University of Alberta|   STUDY_CHAIR, Eric Vallieres, MD, FRCSC, University of Washington|   STUDY_CHAIR, Russell F. DeVore, MD, Vanderbilt-Ingram Cancer Center|   STUDY_CHAIR, James R. Rigas, MD, Norris Cotton Cancer Center","Timothy L. Winton, MD| Eric Vallieres, MD, FRCSC| Russell F. DeVore, MD| James R. Rigas, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, MD, Amgen",MD,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Francisco Robert, MD, University of Alabama at Birmingham","Francisco Robert, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals|   STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmeceuticals",Novartis Pharmaceuticals| Novartis Pharmaceuticals,Lung cancer (Completed)
"STUDY_DIRECTOR, Centocor, Inc. Clinical Trial, Centocor, Inc.","Centocor, Inc. Clinical Trial",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, John Nichols, MB ChB, Surrey Primary Care Research Unit","John Nichols, MB ChB",Lung cancer (Completed)
"STUDY_CHAIR, Leonard Liebes, PhD, NYU Langone Health","Leonard Liebes, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Olfred Hansen, MD, Odense University Hospital","Olfred Hansen, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Study Director Oncology, AnHeart Therapeutics Inc.",Study Director Oncology,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Shadia Jalal, MD, Indiana University","Shadia Jalal, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Dr. Michael Har-Noy, Immunovative Therapies, Ltd.|   PRINCIPAL_INVESTIGATOR, Michael Berger, MD, Immunotherapy Clinical Associates, PC","Dr. Michael Har-Noy| Michael Berger, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Gustavo Peralta, Laboratorio Avi-Mex, S.A. de C.V.",Gustavo Peralta,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Tom Waddell, MD, Head of Thoracic Surgery Division","Tom Waddell, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Suzanne Kilany, Active Biotech AB",Suzanne Kilany,Lung cancer (Completed)
"STUDY_DIRECTOR, GSK Clinical Trials, GlaxoSmithKline",GSK Clinical Trials,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Apichat Tantraworasin, M.D., Department of Surgery, Faculty of medicine, Chiang mai University","Apichat Tantraworasin, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, David R. Spigel, MD, SCRI Development Innovations, LLC","David R. Spigel, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Nabil Rizk, MD, Memorial Sloan Kettering Cancer Center","Nabil Rizk, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,"Bonny L. Johnson, RN, MSN",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Patrick Y. Wen, MD, Dana-Farber Cancer Institute","Patrick Y. Wen, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Shaheen Lakhan, MDPhD, FAAN, Click Therapeutics|   STUDY_DIRECTOR, Jacqueline Lutz, PhD, Click Therapeutics","Shaheen Lakhan, MDPhD, FAAN| Jacqueline Lutz, PhD",Lung cancer (Completed)
"STUDY_CHAIR, Mark D. Pegram, MD, Jonsson Comprehensive Cancer Center","Mark D. Pegram, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Marybeth Hughes, MD, NCI - Surgery Branch","Marybeth Hughes, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Jan Sunnegårdh, MD, PhD, Pediatric Heart Center, The Queen Silvia Children's Hospital, Sahlgrenska University Hospital","Jan Sunnegårdh, MD, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Pia Wintermark, Pia, McGill University Health Centre/Research Institute of the McGill University Health Centre","Pia Wintermark, Pia",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Majorie Zauderer, MD, Memorial Sloan Kettering Cancer Center","Majorie Zauderer, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Fred Zheng, MD, Incyte Corporation","Fred Zheng, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"STUDY_DIRECTOR, GSK Clinical Trials, GlaxoSmithKline",GSK Clinical Trials,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Linda L. Garland, MD, University of Arizona|   STUDY_CHAIR, John Crowley, PhD, Cancer Research And Bioststistics","Linda L. Garland, MD| John Crowley, PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, James A. Tulsky, MD, Dana-Farber Cancer Institute","James A. Tulsky, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Lampros Vamvakas, MD, University Hospital of Crete, Department of Medical Oncology","Lampros Vamvakas, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Director Clinical Science, Millennium Pharmaceuticals, Inc.",Medical Director Clinical Science,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Angela Dispenzieri, Mayo Clinic",Angela Dispenzieri,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Ruiz Isabel, Dr, Hospital Vall d'Hebron|   PRINCIPAL_INVESTIGATOR, Rovira Montserrat, Dr, Hospital Clinic of Barcelona","Ruiz Isabel, Dr| Rovira Montserrat, Dr",Lung cancer (Completed)
"STUDY_DIRECTOR, Edward O'Mara, MD, PTC Therapeutics","Edward O'Mara, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Simone Dal Corso, PhD, University of Nove de Julho","Simone Dal Corso, PhD",Lung cancer (Completed)
"STUDY_CHAIR, David Gandara, MD, University of California, Davis","David Gandara, MD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Moishe Liberman, MD, PhD, Centre Hospitalier Universitaire de Montreal","Moishe Liberman, MD, PhD",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, yuankai shi, PhD, Cancer Institute/Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College|   PRINCIPAL_INVESTIGATOR, xingsheng Hu, Cancer Institute/Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College","yuankai shi, PhD| xingsheng Hu",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Alain Vergnenegre, MD, CHU LImoges","Alain Vergnenegre, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Robert Darnell, MD, PHD, Rockefeller University","Robert Darnell, MD, PHD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, A. John Barrett, M.D., National Heart, Lung, and Blood Institute (NHLBI)","A. John Barrett, M.D.",Lung cancer (Completed)
"STUDY_CHAIR, Michael Thomas, Prof. / MD, Current affiliation: Thoraxklinik am Universitätsklinikum Heidelberg","Michael Thomas, Prof. / MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Divi CORNEC, CHRU de Brest",Divi CORNEC,Lung cancer (Completed)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Sandeep Khandhar, MD, Inova Fairfax Hospital|   PRINCIPAL_INVESTIGATOR, Erik Folch, MD, Massachusetts General Hospital","Sandeep Khandhar, MD| Erik Folch, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Theresa McDonnell, ACNP-BC, Massachusetts General Hospital","Theresa McDonnell, ACNP-BC",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Scott Laurie, University Health Network-Princess Margaret Hospital",Scott Laurie,Lung cancer (Completed)
"STUDY_CHAIR, Frank Dunphy, MD, Duke Cancer Institute","Frank Dunphy, MD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Francisco de la Gala, MD PhD, Hospital Gregorio Maranon","Francisco de la Gala, MD PhD",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Alain Tremblay, MDCM, University of Calgary","Alain Tremblay, MDCM",Lung cancer (Completed)
"STUDY_DIRECTOR, Medical Responsible, Merck KGaA, Darmstadt, Germany",Medical Responsible,Lung cancer (Completed)
"STUDY_CHAIR, James R. Jett, MD, Mayo Clinic","James R. Jett, MD",Lung cancer (Completed)
"STUDY_DIRECTOR, Vince O'Neill, M.D., Genentech, Inc.","Vince O'Neill, M.D.",Lung cancer (Completed)
"PRINCIPAL_INVESTIGATOR, Wael C Hanna, MDCM MBA FRCSC FCCP, McMaster University","Wael C Hanna, MDCM MBA FRCSC FCCP",Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
NA,NA,Lung cancer (Completed)
